Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0352300078924000016;Запрос котировок в электронной форме;Приобретение прочих оборотных запасов (перчатки хозяйственные латексные) (Реестровый номер 2024.029375);;'242550502237255050100100240012219244';;;26250.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;"22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских); 22.19.60.119-00000018: Перчатки резиновые общего назначения (кроме медицинских)";"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ОМСКОЙ ОБЛАСТИ ""ДЕТСКИЙ САНАТОРИЙ № 1""";"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ОМСКОЙ ОБЛАСТИ ""ДЕТСКИЙ САНАТОРИЙ № 1""";12.04.2024;12.04.2024;Подача заявок;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;12.04.2024;19.04.2024;
44-ФЗ;№0816500000624006497;Электронный аукцион;Поставка хозяйственных товаров (Перчатки резиновые общего назначения (кроме медицинских));;'242143510125314350100100400050000244';;;104998.50;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;"22.19.60.119-00000020: Перчатки резиновые общего назначения (кроме медицинских); 22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских)";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЯКУТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА №2""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;27.04.2024;
44-ФЗ;№0121100006924000081;Электронный аукцион;Поставка перчаток для государственных нужд ФКУЗ Ставропольский противочумный институт Роспотребнадзора в рамках проекта Санитарный щит. Мероприятие «Осуществление экстерриториального мониторинга инфекционных угроз на базе Центра ВОЗ по реагированию на эпидемии и сети центров за рубежом»;;'241263600064126360100100900012219244';;;118950.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000002: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные;"ФЕДЕРАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""СТАВРОПОЛЬСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ПРОТИВОЧУМНЫЙ ИНСТИТУТ"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА";"ФЕДЕРАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""СТАВРОПОЛЬСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ПРОТИВОЧУМНЫЙ ИНСТИТУТ"" ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА";12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;22.04.2024;
44-ФЗ;№0111100008424000021;Электронный аукцион;Поставка хозяйственных товаров (перчатки, средство для мытья, ведра) для нужд районных (городских) судов Республики Татарстан;;'241165403402416550100100460010000244';;;482964.50;RUB;;;;;"22.29.23.120: Предметы домашнего обихода пластмассовые прочие; 22.19.60.119: Перчатки резиновые прочие; 20.41.32.111: Средства для мытья посуды; 20.41.32.113: Средства моющие для окон; 20.41.32.114: Средства моющие для туалетов и ванных комнат";"20.41.32.114-00000008: Средство моющее для туалетов и ванных комнат; 20.41.32.114-00000006: Средство моющее для туалетов и ванных комнат; 20.41.32.113-00000007: Средство моющее для стекол и зеркал; 20.41.32.111-00000011: Средство для мытья посуды; 22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских)";УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА В РЕСПУБЛИКЕ ТАТАРСТАН;УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА В РЕСПУБЛИКЕ ТАТАРСТАН;02.04.2024;12.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";02.04.2024;11.04.2024;
44-ФЗ;№0335300021424000049;Электронный аукцион;на поставку хозяйственных товаров (перчатки резиновые общего назначения (кроме медицинских), таз, корзина для мусора , ведро, швабра для мытья пола);;'242391101196539110100100560010000244';;;81600.00;RUB;;;;;"22.19.60.119: Перчатки резиновые прочие; 22.29.23.120: Предметы домашнего обихода пластмассовые прочие";"22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских); 22.19.60.119-00000017: Перчатки резиновые общего назначения (кроме медицинских)";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАЛИНИНГРАДСКОЙ ОБЛАСТИ ""СОВЕТСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАЛИНИНГРАДСКОЙ ОБЛАСТИ ""СОВЕТСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА""";12.04.2024;12.04.2024;Подача заявок;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;12.04.2024;25.04.2024;
44-ФЗ;№0362200068824000053;Электронный аукцион;Поставка медицинских изделий (перчаток одноразовых), применяемых в медицинских целях для оказания медицинских услуг.;;'242661000039466170100100570012219244';;;563730.00;RUB;;;;;"22.19.60.113: Перчатки хирургические из каучукового латекса стерильные одноразовые; 22.19.60.111: Перчатки хирургические резиновые; 22.19.60.119: Перчатки резиновые прочие";"22.19.60.113-00000001: Перчатки хирургические из латекса гевеи, неопудренные; 22.19.60.119-00000002: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные; 22.19.60.111-00000004: Перчатки хирургические полиизопреновые, неопудренные";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ  СВЕРДЛОВСКОЙ ОБЛАСТИ ""ИВДЕЛЬСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ  СВЕРДЛОВСКОЙ ОБЛАСТИ ""ИВДЕЛЬСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";04.04.2024;12.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";04.04.2024;12.04.2024;
44-ФЗ;№0373100028124000072;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Перчатки резиновые общего назначения (кроме медицинских);;'241772201965277220100100060510000244';;;266528.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских);"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ ""МЭИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ ""МЭИ""";12.04.2024;12.04.2024;Работа комиссии;;;;
44-ФЗ;№0338300007824000082;Электронный аукцион;Поставка изделий медицинского назначения;;'242410103612041010100101230012219244';;;1003740.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ РОДИЛЬНЫЙ ДОМ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ РОДИЛЬНЫЙ ДОМ""";12.04.2024;12.04.2024;Подача заявок;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;12.04.2024;22.04.2024;
44-ФЗ;№0333100004024000005;Электронный аукцион;Поставка моющих средств и хозяйственных товаров для нужд ФГБОУ ВО Ивановский ГМУ Минздрава России;;'241372801277637020100100210030000244';;;21728.50;RUB;;;;;"22.29.23.120: Предметы домашнего обихода пластмассовые прочие; 20.41.32.121: Порошки стиральные; 22.19.60.119: Перчатки резиновые прочие";"22.19.60.119-00000018: Перчатки резиновые общего назначения (кроме медицинских); 20.41.32.121-00000006: Порошок стиральный";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ИВАНОВСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ИВАНОВСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;22.04.2024;
44-ФЗ;№0848300051624000545;Электронный аукцион;Поставка хозяйственных товаров (лот 2);;'243504004068050400100100310010000244';;;302491.63;RUB;;;;;"20.41.32.114: Средства моющие для туалетов и ванных комнат; 20.13.4: Сульфиды, сульфаты; нитраты, фосфаты и карбонаты; 22.29.23.130: Предметы туалета пластмассовые прочие; 22.19.60.119: Перчатки резиновые прочие; 20.41.32.113: Средства моющие для окон; 20.41.32.125: Средства отбеливающие для стирки; 20.41.31.110: Мыло туалетное твердое; 20.41.32.121: Порошки стиральные; 20.41.32.111: Средства для мытья посуды; 20.41.32.119: Средства моющие прочие; 22.29.23.120: Предметы домашнего обихода пластмассовые прочие; 20.20.14.000: Средства дезинфекционные";"20.41.32.114-00000008: Средство моющее для туалетов и ванных комнат; 20.20.14.000-00000009: Средство дезинфицирующее; 20.41.32.111-00000020: Средство для мытья посуды; 20.41.32.121-00000008: Порошок стиральный; 20.41.31.110-00000006: Мыло туалетное твердое; 22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских); 20.41.32.125-00000006: Средство отбеливающее для стирки; 20.41.32.113-00000006: Средство моющее для стекол и зеркал; 22.19.60.119-00000018: Перчатки резиновые общего назначения (кроме медицинских); 20.13.40.000-00000002: Сульфиды, сульфаты; нитраты, фосфаты и карбонаты";МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЧУЛКОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №20;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК"" РАМЕНСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ";12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;22.04.2024;
44-ФЗ;№0372100037424000098;Электронный аукцион;Поставка изделий медицинского назначения ЛОТ 1;;'241781304741778130100101350012219244';;;919989.75;RUB;;;;;"22.19.60.119: Перчатки резиновые прочие; 22.19.60.113: Перчатки хирургические из каучукового латекса стерильные одноразовые; 22.19.60.111: Перчатки хирургические резиновые";"22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные; 22.19.60.119-00000002: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные; 22.19.60.113-00000003: Перчатки хирургические из латекса гевеи, неопудренные, антибактериальные; 22.19.60.111-00000001: Перчатки хирургические из полихлорпрена, неопудренные; 22.19.60.119-00000004: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, стерильные; 22.19.60.113-00000001: Перчатки хирургические из латекса гевеи, неопудренные; 22.19.60.113-00000002: Перчатки хирургические из латекса гевеи, опудренные";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ МОЗГА ЧЕЛОВЕКА ИМ. Н.П. БЕХТЕРЕВОЙ РОССИЙСКОЙ АКАДЕМИИ НАУК;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ МОЗГА ЧЕЛОВЕКА ИМ. Н.П. БЕХТЕРЕВОЙ РОССИЙСКОЙ АКАДЕМИИ НАУК;26.03.2024;12.04.2024;Работа комиссии;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";26.03.2024;04.04.2024;
44-ФЗ;№0362300326224000006;Электронный аукцион;поставку перчаток медицинских смотровых;;'242662200237166230100100240012219244';;;380100.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;"22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные; 22.19.60.119-00000011: Перчатки смотровые/процедурные нитриловые, неопудренные, антибактериальные";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""НИЖНЕСАЛДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""НИЖНЕСАЛДИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА""";01.04.2024;12.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";01.04.2024;09.04.2024;
44-ФЗ;№0134100009624000045;Электронный аукцион;Прочая закупка товаров, работ, услуг (Поставка вещевого имущества (перчаток резиновых)) ;;'241380818408038080100100370012219244';;;77963.76;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;"22.19.60.119-00000020: Перчатки резиновые общего назначения (кроме медицинских); 22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских); 22.19.60.119-00000018: Перчатки резиновые общего назначения (кроме медицинских)";ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ИРКУТСКОЙ ОБЛАСТИ;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ИРКУТСКОЙ ОБЛАСТИ;12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Учреждениям и предприятиям уголовно-исполнительной системы (в соответствии со статьей 28             Федерального закона № 44-ФЗ) - 15%";12.04.2024;20.05.2024;
44-ФЗ;№0319200063024000047;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;;'242246303264524630100100030320000244';;;69000.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКИЙ МЕЖРАЙОННЫЙ РОДИЛЬНЫЙ ДОМ № 5""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКИЙ МЕЖРАЙОННЫЙ РОДИЛЬНЫЙ ДОМ № 5""";12.04.2024;12.04.2024;Определение поставщика завершено;;;;
44-ФЗ;№0108500000424001406;Электронный аукцион;Поставка перчаток медицинских ;;'242121513926912150100100250012219244';;;101820.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;"22.19.60.119-00000014: Перчатки смотровые/процедурные нитриловые, неопудренные, стерильные; 22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ МАРИЙ ЭЛ ""ВРАЧЕБНО-ФИЗКУЛЬТУРНЫЙ ДИСПАНСЕР""";КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИ МАРИЙ ЭЛ;04.04.2024;12.04.2024;Определение поставщика завершено;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;04.04.2024;12.04.2024;
44-ФЗ;№0371300046724000015;Электронный аукцион;Поставка хозяйственных товаров;;'243761008643576100100100350010000244';;;17382.95;RUB;;;;;"20.41.32.119: Средства моющие прочие; 22.29.23.120: Предметы домашнего обихода пластмассовые прочие; 20.41.32.114: Средства моющие для туалетов и ванных комнат; 22.19.60.119: Перчатки резиновые прочие";"22.19.60.119-00000018: Перчатки резиновые общего назначения (кроме медицинских); 20.41.32.114-00000008: Средство моющее для туалетов и ванных комнат";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ГОРОД РЫБИНСК ""ИНФОРМАЦИОННО-ТЕХНИЧЕСКИЙ ЦЕНТР""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ГОРОД РЫБИНСК ""ИНФОРМАЦИОННО-ТЕХНИЧЕСКИЙ ЦЕНТР""";12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;22.04.2024;
44-ФЗ;№0304300068224000038;Электронный аукцион;Поставка расходного медицинского материала (Перчатки медицинские);;'242071300147007250100100030390000244';;;995000.00;RUB;;;;;"22.19.60.113: Перчатки хирургические из каучукового латекса стерильные одноразовые; 22.19.60.119: Перчатки резиновые прочие";"22.19.60.113-00000001: Перчатки хирургические из латекса гевеи, неопудренные; 22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 2""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 2""";04.04.2024;12.04.2024;Определение поставщика завершено;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;;12.04.2024;
44-ФЗ;№0136500001124001967;Электронный аукцион;Поставка медицинских изделий (Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные);;'242690300692869500100100080350000244';;;1154250.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000002: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ТВЕРСКОЙ ОБЛАСТИ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 6""";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ТВЕРСКОЙ ОБЛАСТИ;12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;24.04.2024;
44-ФЗ;№0252100004124000026;Электронный аукцион;Поставка хозяйственных, бытовых товаров и принадлежностей для нужд ТФОМС Омской области;;'241550401913755060100100240070000244';;;64355.00;RUB;;;;;"22.19.60.112: Перчатки резиновые технические; 20.41.32.119: Средства моющие прочие; 22.29.23.120: Предметы домашнего обихода пластмассовые прочие; 22.19.60.119: Перчатки резиновые прочие; 25.21.11.130: Радиаторы центрального отопления и их секции из прочих металлов; 20.41.32.114: Средства моющие для туалетов и ванных комнат; 20.41.32.113: Средства моющие для окон";"20.41.32.113-00000002: Средство моющее для стекол и зеркал; 20.41.32.114-00000004: Средство моющее для туалетов и ванных комнат; 22.19.60.119-00000018: Перчатки резиновые общего назначения (кроме медицинских)";ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ОМСКОЙ ОБЛАСТИ;ТЕРРИТОРИАЛЬНЫЙ ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ОМСКОЙ ОБЛАСТИ;12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;24.04.2024;
44-ФЗ;№0387200009124001902;Электронный аукцион;Поставка перчаток смотровых/процедурных нитриловых, неопудренных, нестерильных;;'242860200172986020100102050012219244';;;1271490.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""СУРГУТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ""";"КАЗЕННОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""ЦЕНТР ЛЕКАРСТВЕННОГО МОНИТОРИНГА""";26.03.2024;12.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";26.03.2024;11.04.2024;
